
# Surface 0 of 1 surfaces

# Curve title: "r*cos(v)*cos(u),r*cos(v)*sin(u),r*sin(v)"

# IsoCurve 0, 25 points
# x y z type
-0.319777 0.6 -0.744321 i
-0.456503 0.5 -0.744321 i
-0.561948 0.3 -0.744321 i
-0.628885 0.2 -0.744321 i
-0.652728 0.0 -0.744321 i
-0.631842 -0.2 -0.744321 i
-0.567659 -0.3 -0.744321 i
-0.464577 -0.5 -0.744321 i
-0.329659 -0.6 -0.744321 i
-0.172152 -0.6 -0.744321 i
-0.00284816 -0.7 -0.744321 i
 0.166651 -0.6 -0.744321 i
 0.32473 -0.6 -0.744321 i
 0.460558 -0.5 -0.744321 i
 0.564825 -0.3 -0.744321 i
 0.630387 -0.2 -0.744321 i
 0.652752 -0.0 -0.744321 i

# IsoCurve 7, 25 points
# x y z type
 0.746576 -0.0 -0.650042 i
 0.724379 0.2 -0.650042 i
 0.652543 0.4 -0.650042 i
 0.535991 0.5 -0.650042 i
 0.38271 0.6 -0.650042 i
 0.203204 0.7 -0.650042 i
 0.00977387 0.7 -0.650042 i
-0.184326 0.7 -0.650042 i
-0.365796 0.7 -0.650042 i
-0.522199 0.5 -0.650042 i
-0.642818 0.4 -0.650042 i
-0.719388 0.2 -0.650042 i
-0.746662 0.0 -0.650042 i
-0.72277 -0.2 -0.650042 i
-0.64935 -0.4 -0.650042 i
-0.531434 -0.5 -0.650042 i
-0.377101 -0.6 -0.650042 i
-0.196927 -0.7 -0.650042 i
-0.00325804 -0.7 -0.650042 i
 0.190634 -0.7 -0.650042 i
 0.371462 -0.6 -0.650042 i
 0.526836 -0.5 -0.650042 i
 0.646109 -0.4 -0.650042 i
 0.721106 -0.2 -0.650042 i
 0.74669 -0.0 -0.650042 i

# IsoCurve 8, 25 points
# x y z type
 0.827007 -0.0 -0.544014 i
 0.802418 0.2 -0.544014 i
 0.722843 0.4 -0.544014 i
 0.593735 0.6 -0.544014 i
 0.423941 0.7 -0.544014 i
 0.225096 0.8 -0.544014 i
