
# Surface 0 of 1 surfaces

# Curve title: "v(x,y)"

# Contour 0, label:    -0.36
 2.0629 -0.25 -0.42 
 2.05375 -0.2 -0.42 
 2.04187 -0.15 -0.42 
 2.0303 -0.111194 -0.42 
 2.02739 -0.1 -0.42 
 2.01103 -0.05 -0.42 
 1.99195  0 -0.42 
 1.9899  0.00437728 -0.42 
 1.97157  0.05 -0.42 
 1.94949  0.098336 -0.42 
 1.94885  0.1 -0.42 
 1.92555  0.15 -0.42 
 1.90909  0.181108 -0.42 
 1.90074  0.2 -0.42 
 1.87542  0.25 -0.42 
 1.86869  0.26146 -0.42 
 1.8501  0.3 -0.42 
 1.82828  0.341185 -0.42 
 1.82447  0.35 -0.42 
 1.79986  0.4 -0.42 
 1.78788  0.422326 -0.42 
 1.77589  0.45 -0.42 
 1.75302  0.5 -0.42 
 1.74747  0.511112 -0.42 
 1.73183  0.55 -0.42 
 1.71211  0.6 -0.42 
 1.70707  0.612351 -0.42 
 1.69444  0.65 -0.42 
 1.67876  0.7 -0.42 
 1.66667  0.744317 -0.42 
 1.66533  0.75 -0.42 
 1.65408  0.8 -0.42 
 1.64523  0.85 -0.42 
 1.63891  0.9 -0.42 
 1.63515  0.95 -0.42 
 1.6339  1 -0.42 
 1.63515  1.05 -0.42 
 1.63891  1.1 -0.42 
 1.64523  1.15 -0.42 
 1.65408  1.2 -0.42 
 1.66533  1.25 -0.42 
 1.66667  1.25568 -0.42 
 1.67876  1.3 -0.42 
 1.69444  1.35 -0.42 
 1.70707  1.38765 -0.42 
 1.71211  1.4 -0.42 
 1.73183  1.45 -0.42 
 1.74747  1.48889 -0.42 
 1.75302  1.5 -0.42 
 1.77589  1.55 -0.42 
 1.78788  1.57767 -0.42 
 1.79986  1.6 -0.42 
 1.82447  1.65 -0.42 
 1.82828  1.65882 -0.42 
 1.8501  1.7 -0.42 
 1.86869  1.73854 -0.42 
 1.87542  1.75 -0.42 
 1.90074  1.8 -0.42 
 1.90909  1.81889 -0.42 
 1.92555  1.85 -0.42 
 1.94885  1.9 -0.42 
 1.94949  1.90166 -0.42 
 1.97157  1.95 -0.42 
 1.9899  1.99562 -0.42 
 1.99195  2 -0.42 
 2.01103  2.05 -0.42 
 2.02739  2.1 -0.42 
 2.0303  2.11119 -0.42 
 2.04187  2.15 -0.42 
 2.05375  2.2 -0.42 
 2.0629  2.25 -0.42 
 2.06939  2.3 -0.42 
 2.07071  2.31799 -0.42 
 2.07334  2.35 -0.42 
 2.07455  2.4 -0.42 
 2.07294  2.45 -0.42 
 2.07071  2.47581 -0.42 
 2.06856  2.5 -0.42 


# Contour 3, label:    -0.45
 1.97901 -0.5 -0.45 
 1.98863 -0.45 -0.45 
 1.9899 -0.441021 -0.45 
 1.99549 -0.4 -0.45 
 1.99948 -0.35 -0.45 
 2.0006 -0.3 -0.45 
 1.99892 -0.25 -0.45 
 1.99448 -0.2 -0.45 
 1.9899 -0.169039 -0.45 
 1.98743 -0.15 -0.45 
 1.97807 -0.1 -0.45 
 1.96616 -0.05 -0.45 
 1.95168  0 -0.45 
 1.94949  0.00595766 -0.45 
 1.93564  0.05 -0.45 
 1.91742  0.1 -0.45 
 1.90909  0.119139 -0.45 
 1.89777  0.15 -0.45 
 1.87675  0.2 -0.45 
 1.86869  0.216381 -0.45 
 1.85496  0.25 -0.45 
 1.83231  0.3 -0.45 
 1.82828  0.307611 -0.45 
 1.80994  0.35 -0.45 
 1.78788  0.398071 -0.45 
 1.78716  0.4 -0.45 
 1.76559  0.45 -0.45 
 1.74747  0.491215 -0.45 
 1.74434  0.5 -0.45 
 1.72468  0.55 -0.45 
 1.70707  0.596796 -0.45 
 1.70608  0.6 -0.45 
 1.68946  0.65 -0.45 
 1.67454  0.7 -0.45 
 1.66667  0.728837 -0.45 
 1.66169  0.75 -0.45 
 1.65091  0.8 -0.45 
 1.64242  0.85 -0.45 
 1.63636  0.9 -0.45 
 1.63275  0.95 -0.45 
 1.63156  1 -0.45 
 1.63275  1.05 -0.45 
 1.63636  1.1 -0.45 
 1.64242  1.15 -0.45 
 1.65091  1.2 -0.45 
 1.66169  1.25 -0.45 
 1.66667  1.27116 -0.45 
 1.67454  1.3 -0.45 
 1.68946  1.35 -0.45 
 1.70608  1.4 -0.45 
 1.70707  1.4032 -0.45 
 1.72468  1.45 -0.45 
 1.74434  1.5 -0.45 
 1.74747  1.50878 -0.45 
 1.76559  1.55 -0.45 
 1.78716  1.6 -0.45 
 1.78788  1.60193 -0.45 
 1.80994  1.65 -0.45 
 1.82828  1.69239 -0.45 
 1.83231  1.7 -0.45 
 1.85496  1.75 -0.45 
 1.86869  1.78362 -0.45 
 1.87675  1.8 -0.45 
 1.89777  1.85 -0.45 
 1.90909  1.88086 -0.45 
 1.91742  1.9 -0.45 
 1.93564  1.95 -0.45 
 1.94949  1.99404 -0.45 
 1.95168  2 -0.45 
 1.96616  2.05 -0.45 
 1.97807  2.1 -0.45 
 1.98743  2.15 -0.45 
 1.9899  2.16904 -0.45 
 1.99448  2.2 -0.45 
 1.99892  2.25 -0.45 
 2.0006  2.3 -0.45 
 1.99948  2.35 -0.45 
 1.99549  2.4 -0.45 
 1.9899  2.44102 -0.45 
 1.98863  2.45 -0.45 
 1.97901  2.5 -0.45 


# Contour 4, label:     -0.5
 1.84124 -0.5 -0.5 
 1.85978 -0.45 -0.5 
 1.86869 -0.421421 -0.5 
 1.875 -0.4 -0.5 
 1.88712 -0.35 -0.5 
 1.89605 -0.3 -0.5 
 1.90196 -0.25 -0.5 
 1.90496 -0.2 -0.5 
 1.90519 -0.15 -0.5 
 1.90276 -0.1 -0.5 
 1.89776 -0.05 -0.5 
 1.89028  0 -0.5 
 1.88039  0.05 -0.5 
 1.86869  0.0975935 -0.5 
 1.86818  0.1 -0.5 
 1.85462  0.15 -0.5 
 1.83912  0.2 -0.5 
 1.82828  0.229934 -0.5 
 1.82222  0.25 -0.5 
 1.8046  0.3 -0.5 
 1.78788  0.343632 -0.5 
 1.78587  0.35 -0.5 
 1.7674  0.4 -0.5 
 1.74843  0.45 -0.5 
 1.74747  0.452176 -0.5 
 1.73042  0.5 -0.5 
 1.71277  0.55 -0.5 
 1.70707  0.56513 -0.5 
 1.69632  0.6 -0.5 
 1.68116  0.65 -0.5 
 1.66749  0.7 -0.5 
 1.66667  0.703035 -0.5 
 1.65562  0.75 -0.5 
 1.64562  0.8 -0.5 
 1.63774  0.85 -0.5 
 1.63211  0.9 -0.5 
 1.62876  0.95 -0.5 
 1.62766  1 -0.5 
 1.62876  1.05 -0.5 
 1.63211  1.1 -0.5 
 1.63774  1.15 -0.5 
 1.64562  1.2 -0.5 
 1.65562  1.25 -0.5 
 1.66667  1.29696 -0.5 
 1.66749  1.3 -0.5 
 1.68116  1.35 -0.5 
 1.69632  1.4 -0.5 
 1.70707  1.43487 -0.5 
 1.71277  1.45 -0.5 
 1.73042  1.5 -0.5 
 1.74747  1.54782 -0.5 
 1.74843  1.55 -0.5 
 1.7674  1.6 -0.5 
 1.78587  1.65 -0.5 
 1.78788  1.65637 -0.5 
 1.8046  1.7 -0.5 
 1.82222  1.75 -0.5 
 1.82828  1.77007 -0.5 
 1.83912  1.8 -0.5 
 1.85462  1.85 -0.5 
 1.86818  1.9 -0.5 
 1.86869  1.90241 -0.5 
 1.88039  1.95 -0.5 
 1.89028  2 -0.5 
 1.89776  2.05 -0.5 
 1.90276  2.1 -0.5 
 1.90519  2.15 -0.5 
 1.90496  2.2 -0.5 
 1.90196  2.25 -0.5 
 1.89605  2.3 -0.5 
 1.88712  2.35 -0.5 
 1.875  2.4 -0.5 
 1.86869  2.42142 -0.5 
 1.85978  2.45 -0.5 
 1.84124  2.5 -0.5 


# Contour 5, label:    -0.55
-1  2.18694 -0.55 
-0.991278  2.2 -0.55 
-0.959596  2.24505 -0.55 
-0.956058  2.25 -0.55 
-0.919192  2.29921 -0.55 
-0.918585  2.3 -0.55 
-0.878788  2.3499 -0.55 
-0.878705  2.35 -0.55 
-0.838384  2.39752 -0.55 
-0.836218  2.4 -0.55 
-0.79798  2.44237 -0.55 
-0.790878  2.45 -0.55 
-0.757576  2.4847 -0.55 
-0.742381  2.5 -0.55 

 1.71155 -0.5 -0.55 
 1.73941 -0.45 -0.55 
 1.74747 -0.433955 -0.55 
 1.76331 -0.4 -0.55 
 1.78339 -0.35 -0.55 
 1.78788 -0.337155 -0.55 
 1.80002 -0.3 -0.55 
 1.81325 -0.25 -0.55 
 1.82316 -0.2 -0.55 
 1.82828 -0.163136 -0.55 
 1.83001 -0.15 -0.55 
 1.834 -0.1 -0.55 
 1.83512 -0.05 -0.55 
 1.8335  0 -0.55 
 1.82927  0.05 -0.55 
 1.82828  0.0567514 -0.55 
 1.82287  0.1 -0.55 
 1.81434  0.15 -0.55 
 1.80379  0.2 -0.55 
 1.79134  0.25 -0.55 
 1.78788  0.26117 -0.55 
 1.77786  0.3 -0.55 
 1.76329  0.35 -0.55 
 1.74765  0.4 -0.55 
 1.74747  0.400463 -0.55 
 1.73223  0.45 -0.55 
 1.71649  0.5 -0.55 
 1.70707  0.528217 -0.55 
